ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"158.69.71.69","elite","AS16276","CA","OVH SAS","89","OVH Hosting, Inc.","9300","socks4","1","100","913","913","2025-06-27T20:21:04.244Z","4066"
"110.78.186.90","elite","AS131090","TH","CAT-BB","196","N/A","4145","socks4","1","58","5834","10069","2025-06-27T20:21:04.243Z","4699"
"51.89.45.60","elite","AS16276","GB","OVH SAS","8","Lab Vibrant","44469","socks5","1","100","10066","10089","2025-06-27T20:21:04.443Z","4999"
"104.27.109.248","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","20998","100","18","18","2025-06-27T20:21:04.158Z","1618"
"138.97.0.53","elite","AS262346","BR","FP Telecomunicacoes Ltda","219","FP Telecomunicacoes Ltda","4145","socks4","1","81","8113","10062","2025-06-27T20:21:04.443Z","4211"
"199.58.185.9","elite","AS46562","US","Performive LLC","139","Performive LLC","4145","socks4","1","99","88","89","2025-06-27T20:21:04.132Z","4597"
"12.218.209.130","elite","N/A","US","AT&T Enterprises, LLC","156","N/A","13326","socks4","1","100","104","104","2025-06-27T20:21:04.239Z","4398"
"172.64.147.134","elite","AS13335","CA","Cloudflare, Inc.","11","Cloudflare, Inc.","80","http","21009","100","18","18","2025-06-27T20:21:04.148Z","3002"
"202.40.179.138","elite","AS23991","BD","Ranks ITT","282","Ranks ITT Ltd.","6969","socks4","1","72","2193","3067","2025-06-27T20:21:04.242Z","4002"
"45.224.22.63","elite","AS52468","EC","Ufinet Panama S.A.","187","Negocios Y Telefonia Nedetel S.A","9991","socks4","1","100","436","436","2025-06-27T20:21:04.247Z","4797"
"146.19.196.173","elite","N/A","FR","Melbikomas UAB","249","N/A","54337","socks4","1","99","181","183","2025-06-27T20:21:04.246Z","4993"
"47.242.190.33","elite","AS45102","HK","Alibaba.com LLC","308","Hong Kong","1080","socks4","2","98","9795","10004","2025-06-27T20:21:04.131Z","4088"
"104.25.0.92","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","20827","100","17","17","2025-06-27T20:21:04.161Z","2385"
